name,k_optimal,k_approx,millis
advotogo-n_100,2,2,27
advotogo-n_1000,127,128,16
advotogo-n_1500,215,216,16
advotogo-n_200,9,9,3
advotogo-n_2000,297,297,17
advotogo-n_3000,548,558,50
advotogo-n_4000,863,925,267
advotogo-n_500,39,39,4
advotogo-n_5000,1160,1287,477
advotogo-n_5159,1208,1327,324
bitcoinalpha-n_100,2,2,1
bitcoinalpha-n_1000,136,136,4
bitcoinalpha-n_1500,261,261,4
bitcoinalpha-n_200,11,11,2
bitcoinalpha-n_2000,393,393,23
bitcoinalpha-n_3000,658,659,20
bitcoinalpha-n_3785,921,924,12
bitcoinalpha-n_50,2,2,1
bitcoinalpha-n_500,54,54,2
blogs-n_100,8,8,2
blogs-n_1000,196,247,58
blogs-n_1227,262,349,107
blogs-n_200,16,16,2
blogs-n_50,6,6,2
blogs-n_500,76,85,4
chess-n_1000,62,73,6
chess-n_1500,127,159,15
chess-n_200,2,2,2
chess-n_2000,204,279,42
chess-n_500,17,17,2
ChicagoRegional-n_100,1,1,1
ChicagoRegional-n_1000,92,92,2
ChicagoRegional-n_10000,4193,4212,227
ChicagoRegional-n_1500,181,181,1
ChicagoRegional-n_200,5,5,1
ChicagoRegional-n_2000,307,307,2
ChicagoRegional-n_3000,631,631,3
ChicagoRegional-n_4000,1020,1020,3
ChicagoRegional-n_50,2,2,1
ChicagoRegional-n_500,24,24,1
ChicagoRegional-n_5000,1484,1486,5
ChicagoRegional-n_6000,1987,1989,22
ChicagoRegional-n_7000,2495,2498,34
ChicagoRegional-n_8000,3028,3032,72
ChicagoRegional-n_9000,3651,3671,130
health-n_100,4,4,1
health-n_1000,231,232,2
health-n_1500,446,458,11
health-n_200,17,17,1
health-n_2000,674,760,127
health-n_2542,960,1172,491
health-n_50,2,2,2
health-n_500,67,68,2
link-kv-n_100,8,8,2
link-kv-n_1000,234,235,19
link-kv-n_1500,391,399,62
link-kv-n_200,20,20,2
link-kv-n_2000,565,584,210
link-kv-n_3000,900,944,423
link-kv-n_4000,1244,1325,1220
link-kv-n_500,83,83,3
link-kv-n_5000,1670,1773,2748
link-kv-n_6000,2014,2151,4402
link-kv-n_6916,2364,2540,7939
openflights-n_100,10,10,1
openflights-n_1000,201,201,1
openflights-n_1500,413,415,2
openflights-n_200,26,26,1
openflights-n_2000,593,593,4
openflights-n_2942,998,1002,25
openflights-n_50,2,2,1
openflights-n_500,80,81,2
out.cfinder-google-n_100,6,6,1
out.cfinder-google-n_1000,100,100,1
out.cfinder-google-n_10000,3133,3444,1303
out.cfinder-google-n_1500,188,188,1
out.cfinder-google-n_200,13,13,1
out.cfinder-google-n_2000,307,307,2
out.cfinder-google-n_3000,574,575,8
out.cfinder-google-n_4000,852,859,24
out.cfinder-google-n_50,7,7,1
out.cfinder-google-n_500,37,37,1
out.cfinder-google-n_5000,1200,1232,99
out.cfinder-google-n_6000,1581,1705,298
out.cfinder-google-n_7000,1928,1994,267
out.cfinder-google-n_8000,2338,2603,792
out.cfinder-google-n_9000,2698,2947,923
talk-oc-n_1000,7,7,2
talk-oc-n_1500,15,15,2
talk-oc-n_2000,15,15,2
talk-oc-n_3000,29,29,3
talk-oc-n_3066,30,30,3
talk-oc-n_500,3,3,1
temporalGraph-n_1000,40,40,2
temporalGraph-n_1500,77,84,3
temporalGraph-n_1868,106,109,5
temporalGraph-n_200,5,5,1
temporalGraph-n_50,3,3,1
temporalGraph-n_500,17,18,1
ucsocial-n_100,5,5,1
ucsocial-n_1000,258,265,3
ucsocial-n_1500,435,462,33
ucsocial-n_1902,585,618,44
ucsocial-n_200,23,23,1
ucsocial-n_50,3,3,1
ucsocial-n_500,80,80,1
usairport-n_100,13,13,1
usairport-n_1000,253,271,12
usairport-n_1500,428,472,54
usairport-n_1577,455,493,43
usairport-n_200,29,30,1
usairport-n_50,5,6,0
usairport-n_500,112,119,2
wikispeedia-n_1000,156,159,2
wikispeedia-n_1500,271,318,18
wikispeedia-n_200,14,14,1
wikispeedia-n_2000,437,525,122
wikispeedia-n_3000,804,1040,686
wikispeedia-n_500,56,60,0
synth-n_100-m_1093-k_5-p_0.2.txt,5,5,1
synth-n_100-m_1146-k_10-p_0.2.txt,10,13,3
synth-n_100-m_1151-k_15-p_0.2.txt,15,22,4
synth-n_100-m_1229-k_20-p_0.2.txt,20,53,4
synth-n_100-m_1263-k_25-p_0.2.txt,25,80,3
synth-n_100-m_1275-k_30-p_0.2.txt,30,79,4
synth-n_100-m_263-k_5-p_0.05.txt,5,5,1
synth-n_100-m_289-k_10-p_0.05.txt,4,8,1
synth-n_100-m_302-k_15-p_0.05.txt,8,8,1
synth-n_100-m_332-k_20-p_0.05.txt,14,19,1
synth-n_100-m_336-k_30-p_0.05.txt,15,25,2
synth-n_100-m_343-k_25-p_0.05.txt,14,22,2
synth-n_100-m_515-k_5-p_0.1.txt,5,11,2
synth-n_100-m_591-k_15-p_0.1.txt,15,22,2
synth-n_100-m_611-k_10-p_0.1.txt,10,15,2
synth-n_100-m_628-k_20-p_0.1.txt,20,28,2
synth-n_100-m_691-k_25-p_0.1.txt,25,39,4
synth-n_100-m_732-k_30-p_0.1.txt,30,53,3
synth-n_1000-m_107005-k_50-p_0.2.txt,50,976,1543
synth-n_1000-m_110357-k_70-p_0.2.txt,70,979,1622
synth-n_1000-m_114433-k_100-p_0.2.txt,100,970,1682
synth-n_1000-m_116757-k_120-p_0.2.txt,120,974,1673
synth-n_1000-m_119520-k_150-p_0.2.txt,150,974,1690
synth-n_1000-m_124702-k_200-p_0.2.txt,200,968,1809
synth-n_1000-m_27142-k_50-p_0.05.txt,50,90,496
synth-n_1000-m_28175-k_70-p_0.05.txt,70,145,535
synth-n_1000-m_29037-k_100-p_0.05.txt,100,341,570
synth-n_1000-m_30042-k_120-p_0.05.txt,120,728,536
synth-n_1000-m_30795-k_150-p_0.05.txt,150,898,562
synth-n_1000-m_32410-k_200-p_0.05.txt,200,886,647
synth-n_1000-m_54531-k_50-p_0.1.txt,50,251,830
synth-n_1000-m_55974-k_70-p_0.1.txt,70,732,898
synth-n_1000-m_57929-k_100-p_0.1.txt,100,952,981
synth-n_1000-m_59867-k_120-p_0.1.txt,120,945,980
synth-n_1000-m_60934-k_150-p_0.1.txt,150,951,950
synth-n_1000-m_64710-k_200-p_0.1.txt,200,943,1037
synth-n_1300-m_104213-k_200-p_0.1.txt,200,1251,2065
synth-n_1300-m_178841-k_50-p_0.2.txt,50,1277,3460
synth-n_1300-m_183367-k_70-p_0.2.txt,70,1273,3380
synth-n_1300-m_188195-k_100-p_0.2.txt,100,1270,3398
synth-n_1300-m_191963-k_120-p_0.2.txt,120,1277,3861
synth-n_1300-m_196174-k_150-p_0.2.txt,150,1266,3985
synth-n_1300-m_204142-k_200-p_0.2.txt,200,1275,4032
synth-n_1300-m_45241-k_50-p_0.05.txt,50,82,979
synth-n_1300-m_46137-k_70-p_0.05.txt,70,160,1039
synth-n_1300-m_47847-k_100-p_0.05.txt,100,326,1100
synth-n_1300-m_49172-k_120-p_0.05.txt,120,608,1147
synth-n_1300-m_50340-k_150-p_0.05.txt,150,1201,1084
synth-n_1300-m_52952-k_200-p_0.05.txt,200,1200,1174
synth-n_1300-m_89669-k_50-p_0.1.txt,50,157,1756
synth-n_1300-m_92255-k_70-p_0.1.txt,70,976,1772
synth-n_1300-m_95352-k_100-p_0.1.txt,100,1246,2019
synth-n_1300-m_97421-k_120-p_0.1.txt,120,1253,2041
synth-n_1300-m_99879-k_150-p_0.1.txt,150,1246,2076
synth-n_150-m_1254-k_10-p_0.1.txt,10,12,4
synth-n_150-m_1269-k_15-p_0.1.txt,15,26,4
synth-n_150-m_1284-k_20-p_0.1.txt,20,33,4
synth-n_150-m_1385-k_25-p_0.1.txt,25,36,5
synth-n_150-m_1423-k_30-p_0.1.txt,30,60,5
synth-n_150-m_1564-k_50-p_0.1.txt,48,107,6
synth-n_150-m_2446-k_10-p_0.2.txt,10,20,7
synth-n_150-m_2502-k_15-p_0.2.txt,15,25,8
synth-n_150-m_2552-k_20-p_0.2.txt,20,34,9
synth-n_150-m_2731-k_25-p_0.2.txt,25,99,8
synth-n_150-m_2807-k_30-p_0.2.txt,30,125,9
synth-n_150-m_3040-k_50-p_0.2.txt,50,128,10
synth-n_150-m_3050-k_70-p_0.2.txt,70,125,19
synth-n_150-m_630-k_15-p_0.05.txt,15,25,2
synth-n_150-m_634-k_10-p_0.05.txt,7,7,1
synth-n_150-m_666-k_20-p_0.05.txt,15,28,4
synth-n_150-m_704-k_25-p_0.05.txt,23,29,5
synth-n_150-m_781-k_50-p_0.05.txt,32,53,4
synth-n_150-m_782-k_30-p_0.05.txt,28,37,6
synth-n_150-m_805-k_70-p_0.05.txt,43,71,6
synth-n_1600-m_137884-k_70-p_0.1.txt,70,779,3447
synth-n_1600-m_141523-k_100-p_0.1.txt,100,1557,3473
synth-n_1600-m_143789-k_120-p_0.1.txt,120,1546,3631
synth-n_1600-m_147721-k_150-p_0.1.txt,150,1556,3645
synth-n_1600-m_152838-k_200-p_0.1.txt,200,1549,4257
synth-n_1600-m_273042-k_70-p_0.2.txt,70,1577,8009
synth-n_1600-m_279359-k_100-p_0.2.txt,100,1575,6735
synth-n_1600-m_284773-k_120-p_0.2.txt,120,1574,7125
synth-n_1600-m_290831-k_150-p_0.2.txt,150,1581,7058
synth-n_1600-m_301143-k_200-p_0.2.txt,200,1576,7109
synth-n_1600-m_68907-k_70-p_0.05.txt,70,151,1879
synth-n_1600-m_70865-k_100-p_0.05.txt,100,365,1996
synth-n_1600-m_72748-k_120-p_0.05.txt,120,752,2281
synth-n_1600-m_74607-k_150-p_0.05.txt,150,1476,2080
synth-n_1600-m_77345-k_200-p_0.05.txt,200,1501,2176
synth-n_200-m_1076-k_10-p_0.05.txt,10,10,1
synth-n_200-m_1167-k_15-p_0.05.txt,15,20,8
synth-n_200-m_1175-k_20-p_0.05.txt,20,28,10
synth-n_200-m_1245-k_25-p_0.05.txt,24,36,6
synth-n_200-m_1266-k_30-p_0.05.txt,30,41,6
synth-n_200-m_1336-k_50-p_0.05.txt,45,64,13
synth-n_200-m_2169-k_15-p_0.1.txt,15,27,16
synth-n_200-m_2199-k_10-p_0.1.txt,10,22,8
synth-n_200-m_2293-k_20-p_0.1.txt,20,30,12
synth-n_200-m_2369-k_25-p_0.1.txt,25,36,10
synth-n_200-m_2491-k_30-p_0.1.txt,30,56,16
synth-n_200-m_2592-k_50-p_0.1.txt,50,135,14
synth-n_200-m_2772-k_70-p_0.1.txt,70,151,23
synth-n_200-m_4301-k_10-p_0.2.txt,10,16,15
synth-n_200-m_4485-k_20-p_0.2.txt,20,60,21
synth-n_200-m_4497-k_15-p_0.2.txt,15,31,15
synth-n_200-m_4763-k_25-p_0.2.txt,25,115,24
synth-n_200-m_4854-k_30-p_0.2.txt,30,179,18
synth-n_200-m_5144-k_50-p_0.2.txt,50,172,20
synth-n_200-m_5366-k_70-p_0.2.txt,70,173,25
synth-n_2000-m_106592-k_70-p_0.05.txt,70,145,5136
synth-n_2000-m_108739-k_100-p_0.05.txt,100,310,4214
synth-n_2000-m_110886-k_120-p_0.05.txt,120,676,4377
synth-n_2000-m_112582-k_150-p_0.05.txt,150,1663,4127
synth-n_2000-m_117145-k_200-p_0.05.txt,200,1910,4271
synth-n_2000-m_212793-k_70-p_0.1.txt,70,644,7076
synth-n_2000-m_217131-k_100-p_0.1.txt,100,1951,7884
synth-n_2000-m_220005-k_120-p_0.1.txt,120,1947,8284
synth-n_2000-m_225391-k_150-p_0.1.txt,150,1947,8342
synth-n_2000-m_233102-k_200-p_0.1.txt,200,1943,8319
synth-n_2000-m_422023-k_70-p_0.2.txt,70,1976,14363
synth-n_2000-m_430943-k_100-p_0.2.txt,100,1974,14495
synth-n_2000-m_435643-k_120-p_0.2.txt,120,1975,15105
synth-n_2000-m_444160-k_150-p_0.2.txt,150,1973,15597
synth-n_2000-m_457573-k_200-p_0.2.txt,200,1972,14835
synth-n_2300-m_142851-k_100-p_0.05.txt,100,344,5800
synth-n_2300-m_144829-k_120-p_0.05.txt,120,760,6216
synth-n_2300-m_147738-k_150-p_0.05.txt,150,1827,6236
synth-n_2300-m_152429-k_200-p_0.05.txt,200,2191,6323
synth-n_2300-m_284623-k_100-p_0.1.txt,100,2246,11585
synth-n_2300-m_286796-k_120-p_0.1.txt,120,2240,11057
synth-n_2300-m_292795-k_150-p_0.1.txt,150,2254,12166
synth-n_2300-m_302503-k_200-p_0.1.txt,200,2250,12087
synth-n_2300-m_563042-k_100-p_0.2.txt,100,2275,21144
synth-n_2300-m_569928-k_120-p_0.2.txt,120,2275,23348
synth-n_2300-m_580179-k_150-p_0.2.txt,150,2275,21771
synth-n_2300-m_595551-k_200-p_0.2.txt,200,2274,19842
synth-n_250-m_1653-k_10-p_0.05.txt,10,10,1
synth-n_250-m_1708-k_15-p_0.05.txt,15,26,6
synth-n_250-m_1797-k_25-p_0.05.txt,25,34,10
synth-n_250-m_1806-k_20-p_0.05.txt,20,27,8
synth-n_250-m_1841-k_30-p_0.05.txt,30,44,10
synth-n_250-m_1998-k_50-p_0.05.txt,50,85,13
synth-n_250-m_2173-k_70-p_0.05.txt,69,141,19
synth-n_250-m_3237-k_10-p_0.1.txt,10,21,13
synth-n_250-m_3416-k_15-p_0.1.txt,15,32,16
synth-n_250-m_3493-k_25-p_0.1.txt,25,47,16
synth-n_250-m_3591-k_20-p_0.1.txt,20,28,18
synth-n_250-m_3730-k_30-p_0.1.txt,30,58,25
synth-n_250-m_3992-k_50-p_0.1.txt,50,181,26
synth-n_250-m_4149-k_70-p_0.1.txt,70,206,21
synth-n_250-m_4386-k_100-p_0.1.txt,100,194,29
synth-n_250-m_6567-k_10-p_0.2.txt,10,18,31
synth-n_250-m_6839-k_20-p_0.2.txt,20,54,25
synth-n_250-m_6880-k_15-p_0.2.txt,15,30,28
synth-n_250-m_7102-k_25-p_0.2.txt,25,69,29
synth-n_250-m_7321-k_30-p_0.2.txt,30,162,35
synth-n_250-m_8019-k_50-p_0.2.txt,50,227,32
synth-n_250-m_8255-k_70-p_0.2.txt,70,221,31
synth-n_250-m_8674-k_100-p_0.2.txt,100,226,34
synth-n_2600-m_181265-k_100-p_0.05.txt,100,335,7764
synth-n_2600-m_183371-k_120-p_0.05.txt,120,681,7767
