name,k_optimal,k_approx,millis
advotogo-n_100,2,2,24
advotogo-n_1000,127,127,11
advotogo-n_1500,215,217,15
advotogo-n_200,9,9,4
advotogo-n_2000,297,298,19
advotogo-n_3000,548,557,37
advotogo-n_4000,863,910,145
advotogo-n_500,39,39,3
advotogo-n_5000,1160,1227,256
advotogo-n_5159,1208,1279,151
bitcoinalpha-n_100,2,2,2
bitcoinalpha-n_1000,136,136,3
bitcoinalpha-n_1500,261,261,3
bitcoinalpha-n_200,11,11,2
bitcoinalpha-n_2000,393,393,4
bitcoinalpha-n_3000,658,660,5
bitcoinalpha-n_3785,921,924,9
bitcoinalpha-n_50,2,2,1
bitcoinalpha-n_500,54,54,2
blogs-n_100,8,8,1
blogs-n_1000,196,233,17
blogs-n_1227,262,322,37
blogs-n_200,16,16,3
blogs-n_50,6,6,1
blogs-n_500,76,79,2
chess-n_1000,62,72,3
chess-n_1500,127,153,7
chess-n_200,2,2,1
chess-n_2000,204,268,20
chess-n_500,17,17,2
ChicagoRegional-n_100,1,1,1
ChicagoRegional-n_1000,92,92,1
ChicagoRegional-n_10000,4193,4229,201
ChicagoRegional-n_1500,181,181,1
ChicagoRegional-n_200,5,5,2
ChicagoRegional-n_2000,307,307,1
ChicagoRegional-n_3000,631,631,2
ChicagoRegional-n_4000,1020,1020,3
ChicagoRegional-n_50,2,2,1
ChicagoRegional-n_500,24,24,1
ChicagoRegional-n_5000,1484,1486,5
ChicagoRegional-n_6000,1987,1991,15
ChicagoRegional-n_7000,2495,2500,23
ChicagoRegional-n_8000,3028,3042,33
ChicagoRegional-n_9000,3651,3675,103
health-n_100,4,4,1
health-n_1000,231,231,4
health-n_1500,446,459,16
health-n_200,17,17,1
health-n_2000,674,765,83
health-n_2542,960,1147,249
health-n_50,2,2,1
health-n_500,67,67,1
link-kv-n_100,8,8,1
link-kv-n_1000,234,234,6
link-kv-n_1500,391,393,14
link-kv-n_200,20,20,1
link-kv-n_2000,565,573,51
link-kv-n_3000,900,919,125
link-kv-n_4000,1244,1290,272
link-kv-n_500,83,83,2
link-kv-n_5000,1670,1753,542
link-kv-n_6000,2014,2134,817
link-kv-n_6916,2364,2539,1228
openflights-n_100,10,10,1
openflights-n_1000,201,202,1
openflights-n_1500,413,415,3
openflights-n_200,26,26,1
openflights-n_2000,593,594,4
openflights-n_2942,998,1002,11
openflights-n_50,2,2,1
openflights-n_500,80,81,1
out.cfinder-google-n_100,6,6,1
out.cfinder-google-n_1000,100,100,1
out.cfinder-google-n_10000,3133,3245,691
out.cfinder-google-n_1500,188,188,1
out.cfinder-google-n_200,13,13,1
out.cfinder-google-n_2000,307,307,2
out.cfinder-google-n_3000,574,574,7
out.cfinder-google-n_4000,852,855,20
out.cfinder-google-n_50,7,7,1
out.cfinder-google-n_500,37,37,1
out.cfinder-google-n_5000,1200,1215,65
out.cfinder-google-n_6000,1581,1619,173
out.cfinder-google-n_7000,1928,1966,170
out.cfinder-google-n_8000,2338,2421,587
out.cfinder-google-n_9000,2698,2806,513
talk-oc-n_1000,7,7,1
talk-oc-n_1500,15,15,1
talk-oc-n_2000,15,15,1
talk-oc-n_3000,29,29,2
talk-oc-n_3066,30,30,2
talk-oc-n_500,3,3,1
temporalGraph-n_1000,40,40,1
temporalGraph-n_1500,77,79,1
temporalGraph-n_1868,106,108,2
temporalGraph-n_200,5,5,1
temporalGraph-n_50,3,3,1
temporalGraph-n_500,17,17,1
ucsocial-n_100,5,5,13
ucsocial-n_1000,258,263,3
ucsocial-n_1500,435,450,17
ucsocial-n_1902,585,601,19
ucsocial-n_200,23,23,1
ucsocial-n_50,3,3,1
ucsocial-n_500,80,80,2
usairport-n_100,13,13,2
usairport-n_1000,253,262,6
usairport-n_1500,428,452,20
usairport-n_1577,455,477,20
usairport-n_200,29,29,1
usairport-n_50,5,5,1
usairport-n_500,112,115,2
wikispeedia-n_1000,156,158,2
wikispeedia-n_1500,271,306,10
wikispeedia-n_200,14,14,1
wikispeedia-n_2000,437,508,52
wikispeedia-n_3000,804,997,254
wikispeedia-n_500,56,58,1
synth-n_100-m_1093-k_5-p_0.2.txt,5,5,1
synth-n_100-m_1146-k_10-p_0.2.txt,10,31,2
synth-n_100-m_1151-k_15-p_0.2.txt,15,39,2
synth-n_100-m_1229-k_20-p_0.2.txt,20,41,2
synth-n_100-m_1263-k_25-p_0.2.txt,25,44,2
synth-n_100-m_1275-k_30-p_0.2.txt,30,58,3
