name,k_optimal,k_approx,millis
advotogo-n_100,2,2,23
advotogo-n_1000,127,129,13
advotogo-n_1500,215,221,78
advotogo-n_200,9,9,4
advotogo-n_2000,297,298,16
advotogo-n_3000,548,563,49
advotogo-n_4000,863,939,376
advotogo-n_500,39,39,2
advotogo-n_5000,1160,1279,554
advotogo-n_5159,1208,1329,523
bitcoinalpha-n_100,2,2,2
bitcoinalpha-n_1000,136,136,2
bitcoinalpha-n_1500,261,261,2
bitcoinalpha-n_200,11,11,1
bitcoinalpha-n_2000,393,394,3
bitcoinalpha-n_3000,658,660,4
bitcoinalpha-n_3785,921,926,7
bitcoinalpha-n_50,2,2,2
bitcoinalpha-n_500,54,54,2
blogs-n_100,8,8,1
blogs-n_1000,196,255,78
blogs-n_1227,262,346,162
blogs-n_200,16,16,2
blogs-n_50,6,6,1
blogs-n_500,76,81,5
chess-n_1000,62,75,4
chess-n_1500,127,160,17
chess-n_200,2,2,1
chess-n_2000,204,275,67
chess-n_500,17,17,2
ChicagoRegional-n_100,1,1,2
ChicagoRegional-n_1000,92,92,1
ChicagoRegional-n_10000,4193,4346,418
ChicagoRegional-n_1500,181,181,1
ChicagoRegional-n_200,5,5,1
ChicagoRegional-n_2000,307,308,1
ChicagoRegional-n_3000,631,632,2
ChicagoRegional-n_4000,1020,1022,3
ChicagoRegional-n_50,2,2,2
ChicagoRegional-n_500,24,24,2
ChicagoRegional-n_5000,1484,1493,5
ChicagoRegional-n_6000,1987,2012,13
ChicagoRegional-n_7000,2495,2519,29
ChicagoRegional-n_8000,3028,3088,57
ChicagoRegional-n_9000,3651,3751,213
health-n_100,4,4,2
health-n_1000,231,231,3
health-n_1500,446,474,22
health-n_200,17,17,2
health-n_2000,674,819,228
health-n_2542,960,1265,848
health-n_50,2,2,1
health-n_500,67,67,1
link-kv-n_100,8,8,1
link-kv-n_1000,234,235,16
link-kv-n_1500,391,398,64
link-kv-n_200,20,20,1
link-kv-n_2000,565,575,185
link-kv-n_3000,900,946,615
link-kv-n_4000,1244,1322,1607
link-kv-n_500,83,83,3
link-kv-n_5000,1670,1799,3510
link-kv-n_6000,2014,2198,6081
link-kv-n_6916,2364,2599,9779
openflights-n_100,10,10,0
openflights-n_1000,201,203,1
openflights-n_1500,413,417,3
openflights-n_200,26,26,1
openflights-n_2000,593,598,5
openflights-n_2942,998,1009,23
openflights-n_50,2,2,1
openflights-n_500,80,81,2
out.cfinder-google-n_100,6,6,1
out.cfinder-google-n_1000,100,100,1
out.cfinder-google-n_10000,3133,3275,2226
out.cfinder-google-n_1500,188,188,3
out.cfinder-google-n_200,13,13,0
out.cfinder-google-n_2000,307,307,3
out.cfinder-google-n_3000,574,574,20
out.cfinder-google-n_4000,852,855,48
out.cfinder-google-n_50,7,7,1
out.cfinder-google-n_500,37,37,1
out.cfinder-google-n_5000,1200,1217,163
out.cfinder-google-n_6000,1581,1621,540
out.cfinder-google-n_7000,1928,1970,477
out.cfinder-google-n_8000,2338,2428,1498
