name,k_optimal,k_approx,millis
advotogo-n_100,2,2,19
advotogo-n_1000,127,127,15
advotogo-n_1500,215,217,15
advotogo-n_200,9,9,3
advotogo-n_2000,297,298,13
advotogo-n_3000,548,557,40
advotogo-n_4000,863,910,372
advotogo-n_500,39,39,3
advotogo-n_5000,1160,1227,426
advotogo-n_5159,1208,1279,376
bitcoinalpha-n_100,2,2,2
bitcoinalpha-n_1000,136,136,2
bitcoinalpha-n_1500,261,261,3
bitcoinalpha-n_200,11,11,2
bitcoinalpha-n_2000,393,393,3
bitcoinalpha-n_3000,658,660,4
bitcoinalpha-n_3785,921,924,6
bitcoinalpha-n_50,2,2,1
bitcoinalpha-n_500,54,54,1
blogs-n_100,8,8,1
blogs-n_1000,196,233,57
blogs-n_1227,262,322,102
blogs-n_200,16,16,2
blogs-n_50,6,6,2
blogs-n_500,76,79,3
chess-n_1000,62,72,5
chess-n_1500,127,153,16
chess-n_200,2,2,1
chess-n_2000,204,268,69
chess-n_500,17,17,1
ChicagoRegional-n_100,1,1,1
ChicagoRegional-n_1000,92,92,1
ChicagoRegional-n_10000,4193,4229,530
ChicagoRegional-n_1500,181,181,2
ChicagoRegional-n_200,5,5,1
ChicagoRegional-n_2000,307,307,2
ChicagoRegional-n_3000,631,631,2
ChicagoRegional-n_4000,1020,1020,1
ChicagoRegional-n_50,2,2,1
ChicagoRegional-n_500,24,24,1
ChicagoRegional-n_5000,1484,1486,4
ChicagoRegional-n_6000,1987,1991,18
ChicagoRegional-n_7000,2495,2500,22
ChicagoRegional-n_8000,3028,3042,69
ChicagoRegional-n_9000,3651,3675,296
health-n_100,4,4,1
health-n_1000,231,231,3
health-n_1500,446,459,24
health-n_200,17,17,1
health-n_2000,674,765,249
health-n_2542,960,1147,753
health-n_50,2,2,1
health-n_500,67,67,1
link-kv-n_100,8,8,1
link-kv-n_1000,234,234,18
link-kv-n_1500,391,393,43
link-kv-n_200,20,20,1
link-kv-n_2000,565,573,151
link-kv-n_3000,900,919,476
link-kv-n_4000,1244,1290,1164
link-kv-n_500,83,83,3
link-kv-n_5000,1670,1753,2390
link-kv-n_6000,2014,2134,4004
link-kv-n_6916,2364,2539,6138
openflights-n_100,10,10,1
openflights-n_1000,201,202,1
openflights-n_1500,413,415,4
openflights-n_200,26,26,1
openflights-n_2000,593,594,9
openflights-n_2942,998,1002,25
openflights-n_50,2,2,1
openflights-n_500,80,81,1
out.cfinder-google-n_100,6,6,1
out.cfinder-google-n_1000,100,100,1
out.cfinder-google-n_10000,3133,3245,2484
out.cfinder-google-n_1500,188,188,2
out.cfinder-google-n_200,13,13,1
out.cfinder-google-n_2000,307,307,4
out.cfinder-google-n_3000,574,574,21
out.cfinder-google-n_4000,852,855,208
out.cfinder-google-n_50,7,7,1
out.cfinder-google-n_500,37,37,1
out.cfinder-google-n_5000,1200,1215,236
out.cfinder-google-n_6000,1581,1619,761
out.cfinder-google-n_7000,1928,1966,540
out.cfinder-google-n_8000,2338,2421,1566
out.cfinder-google-n_9000,2698,2806,1788
talk-oc-n_1000,7,7,1
talk-oc-n_1500,15,15,1
talk-oc-n_2000,15,15,1
talk-oc-n_3000,29,29,2
talk-oc-n_3066,30,30,2
talk-oc-n_500,3,3,1
temporalGraph-n_1000,40,40,1
temporalGraph-n_1500,77,79,2
temporalGraph-n_1868,106,108,2
temporalGraph-n_200,5,5,1
temporalGraph-n_50,3,3,1
temporalGraph-n_500,17,17,1
ucsocial-n_100,5,5,1
ucsocial-n_1000,258,263,5
ucsocial-n_1500,435,450,55
ucsocial-n_1902,585,601,51
ucsocial-n_200,23,23,1
ucsocial-n_50,3,3,1
ucsocial-n_500,80,80,1
usairport-n_100,13,13,1
usairport-n_1000,253,262,13
usairport-n_1500,428,452,52
usairport-n_1577,455,477,56
usairport-n_200,29,29,1
usairport-n_50,5,5,1
usairport-n_500,112,115,3
wikispeedia-n_1000,156,158,2
wikispeedia-n_1500,271,306,27
wikispeedia-n_200,14,14,1
wikispeedia-n_2000,437,508,132
wikispeedia-n_3000,804,997,862
wikispeedia-n_500,56,58,2
synth-n_100-m_1093-k_5-p_0.2.txt,5,5,1
synth-n_100-m_1146-k_10-p_0.2.txt,10,31,6
synth-n_100-m_1151-k_15-p_0.2.txt,15,39,8
synth-n_100-m_1229-k_20-p_0.2.txt,20,41,5
synth-n_100-m_1263-k_25-p_0.2.txt,25,44,6
synth-n_100-m_1275-k_30-p_0.2.txt,30,58,9
synth-n_100-m_263-k_5-p_0.05.txt,5,5,1
synth-n_100-m_289-k_10-p_0.05.txt,4,7,1
synth-n_100-m_302-k_15-p_0.05.txt,8,9,2
synth-n_100-m_332-k_20-p_0.05.txt,14,22,1
synth-n_100-m_336-k_30-p_0.05.txt,15,23,2
synth-n_100-m_343-k_25-p_0.05.txt,14,23,2
synth-n_100-m_515-k_5-p_0.1.txt,5,12,2
synth-n_100-m_591-k_15-p_0.1.txt,15,24,6
synth-n_100-m_611-k_10-p_0.1.txt,10,21,5
