name,k_optimal,k_approx,millis
advotogo-n_100,2,2,20
advotogo-n_1000,127,129,9
advotogo-n_1500,215,220,16
advotogo-n_200,9,9,2
advotogo-n_2000,297,301,8
advotogo-n_3000,548,568,36
advotogo-n_4000,863,1012,164
advotogo-n_500,39,39,2
advotogo-n_5000,1160,1392,299
advotogo-n_5159,1208,1448,226
bitcoinalpha-n_100,2,2,1
bitcoinalpha-n_1000,136,136,3
bitcoinalpha-n_1500,261,261,2
bitcoinalpha-n_200,11,11,2
bitcoinalpha-n_2000,393,395,3
bitcoinalpha-n_3000,658,661,4
bitcoinalpha-n_3785,921,929,7
bitcoinalpha-n_50,2,2,1
bitcoinalpha-n_500,54,55,1
blogs-n_100,8,8,1
blogs-n_1000,196,286,42
blogs-n_1227,262,398,77
blogs-n_200,16,16,1
blogs-n_50,6,6,1
blogs-n_500,76,91,2
chess-n_1000,62,90,3
chess-n_1500,127,207,10
chess-n_200,2,2,1
chess-n_2000,204,339,31
chess-n_500,17,17,1
ChicagoRegional-n_100,1,1,1
ChicagoRegional-n_1000,92,92,1
ChicagoRegional-n_10000,4193,4456,151
ChicagoRegional-n_1500,181,181,1
ChicagoRegional-n_200,5,5,2
ChicagoRegional-n_2000,307,308,2
ChicagoRegional-n_3000,631,633,3
ChicagoRegional-n_4000,1020,1022,4
ChicagoRegional-n_50,2,2,2
ChicagoRegional-n_500,24,24,1
ChicagoRegional-n_5000,1484,1499,6
ChicagoRegional-n_6000,1987,2034,16
ChicagoRegional-n_7000,2495,2537,24
ChicagoRegional-n_8000,3028,3121,65
ChicagoRegional-n_9000,3651,3827,75
health-n_100,4,4,1
health-n_1000,231,232,1
health-n_1500,446,494,9
health-n_200,17,17,1
health-n_2000,674,902,89
health-n_2542,960,1395,366
health-n_50,2,2,2
health-n_500,67,68,1
link-kv-n_100,8,8,1
link-kv-n_1000,234,239,10
link-kv-n_1500,391,409,47
link-kv-n_200,20,20,1
link-kv-n_2000,565,611,109
link-kv-n_3000,900,986,377
link-kv-n_4000,1244,1394,1079
link-kv-n_500,83,84,3
link-kv-n_5000,1670,1879,2145
link-kv-n_6000,2014,2287,4408
link-kv-n_6916,2364,2719,7590
openflights-n_100,10,10,1
openflights-n_1000,201,212,1
openflights-n_1500,413,423,5
openflights-n_200,26,27,1
openflights-n_2000,593,604,5
openflights-n_2942,998,1026,21
openflights-n_50,2,2,1
openflights-n_500,80,81,1
out.cfinder-google-n_100,6,6,1
out.cfinder-google-n_1000,100,100,1
out.cfinder-google-n_10000,3133,3472,1315
out.cfinder-google-n_1500,188,188,1
out.cfinder-google-n_200,13,13,1
out.cfinder-google-n_2000,307,307,3
out.cfinder-google-n_3000,574,576,8
out.cfinder-google-n_4000,852,862,34
out.cfinder-google-n_50,7,7,1
out.cfinder-google-n_500,37,37,1
out.cfinder-google-n_5000,1200,1235,71
out.cfinder-google-n_6000,1581,1714,320
out.cfinder-google-n_7000,1928,2000,236
out.cfinder-google-n_8000,2338,2618,828
out.cfinder-google-n_9000,2698,2974,993
talk-oc-n_1000,7,7,0
talk-oc-n_1500,15,15,1
talk-oc-n_2000,15,15,1
talk-oc-n_3000,29,29,2
talk-oc-n_3066,30,30,1
talk-oc-n_500,3,3,1
temporalGraph-n_1000,40,40,1
temporalGraph-n_1500,77,88,2
temporalGraph-n_1868,106,115,3
temporalGraph-n_200,5,5,1
temporalGraph-n_50,3,3,1
temporalGraph-n_500,17,20,1
ucsocial-n_100,5,5,1
ucsocial-n_1000,258,277,4
ucsocial-n_1500,435,515,30
ucsocial-n_1902,585,665,39
ucsocial-n_200,23,23,1
ucsocial-n_50,3,3,0
ucsocial-n_500,80,80,1
usairport-n_100,13,13,1
usairport-n_1000,253,286,10
usairport-n_1500,428,510,45
usairport-n_1577,455,529,50
usairport-n_200,29,33,2
usairport-n_50,5,6,1
usairport-n_500,112,126,3
wikispeedia-n_1000,156,163,2
wikispeedia-n_1500,271,369,22
wikispeedia-n_200,14,14,1
wikispeedia-n_2000,437,615,91
wikispeedia-n_3000,804,1280,728
wikispeedia-n_500,56,62,2
synth-n_100-m_1093-k_5-p_0.2.txt,5,5,1
synth-n_100-m_1146-k_10-p_0.2.txt,10,73,5
synth-n_100-m_1151-k_15-p_0.2.txt,15,77,6
synth-n_100-m_1229-k_20-p_0.2.txt,20,93,6
synth-n_100-m_1263-k_25-p_0.2.txt,25,91,7
synth-n_100-m_1275-k_30-p_0.2.txt,30,88,7
synth-n_100-m_263-k_5-p_0.05.txt,5,5,1
synth-n_100-m_289-k_10-p_0.05.txt,4,9,1
synth-n_100-m_302-k_15-p_0.05.txt,8,10,1
synth-n_100-m_332-k_20-p_0.05.txt,14,27,2
synth-n_100-m_336-k_30-p_0.05.txt,15,34,2
synth-n_100-m_343-k_25-p_0.05.txt,14,37,1
synth-n_100-m_515-k_5-p_0.1.txt,5,33,2
synth-n_100-m_591-k_15-p_0.1.txt,15,54,4
synth-n_100-m_611-k_10-p_0.1.txt,10,44,3
synth-n_100-m_628-k_20-p_0.1.txt,20,60,4
synth-n_100-m_691-k_25-p_0.1.txt,25,78,5
synth-n_100-m_732-k_30-p_0.1.txt,30,77,4
synth-n_1000-m_107005-k_50-p_0.2.txt,50,993,1638
