name,k_optimal,k_approx,millis
advotogo-n_100,2,2,23
advotogo-n_1000,127,127,10045
advotogo-n_1500,215,215,10019
advotogo-n_200,9,9,10027
advotogo-n_2000,297,297,10060
advotogo-n_3000,548,548,10082
advotogo-n_4000,863,863,10020
advotogo-n_500,39,39,10050
advotogo-n_5000,1160,1160,10085
advotogo-n_5159,1208,1211,10028
bitcoinalpha-n_100,2,2,1
bitcoinalpha-n_1000,136,136,10041
bitcoinalpha-n_1500,261,261,10064
bitcoinalpha-n_200,11,11,1
bitcoinalpha-n_2000,393,393,10033
bitcoinalpha-n_3000,658,658,10037
bitcoinalpha-n_3785,921,921,10042
bitcoinalpha-n_50,2,2,1
bitcoinalpha-n_500,54,54,10032
blogs-n_100,8,8,1
blogs-n_1000,196,196,10009
blogs-n_1227,262,262,10010
blogs-n_200,16,16,1
blogs-n_50,6,6,1
blogs-n_500,76,76,10007
chess-n_1000,62,62,10004
chess-n_1500,127,128,10004
chess-n_200,2,2,0
chess-n_2000,204,209,10004
chess-n_500,17,17,0
ChicagoRegional-n_100,1,1,1
ChicagoRegional-n_1000,92,92,1
ChicagoRegional-n_10000,4193,4193,10066
ChicagoRegional-n_1500,181,181,10046
ChicagoRegional-n_200,5,5,1
ChicagoRegional-n_2000,307,307,10069
ChicagoRegional-n_3000,631,631,10084
ChicagoRegional-n_4000,1020,1020,10087
ChicagoRegional-n_50,2,2,1
ChicagoRegional-n_500,24,24,1
ChicagoRegional-n_5000,1484,1484,10110
ChicagoRegional-n_6000,1987,1987,10126
ChicagoRegional-n_7000,2495,2495,10116
ChicagoRegional-n_8000,3028,3028,10096
ChicagoRegional-n_9000,3651,3651,10081
health-n_100,4,4,1
health-n_1000,231,231,10099
health-n_1500,446,446,10045
health-n_200,17,17,0
health-n_2000,674,676,10008
health-n_2542,960,980,10013
health-n_50,2,2,1
health-n_500,67,67,10032
link-kv-n_100,8,8,10036
link-kv-n_1000,234,234,10026
link-kv-n_1500,391,391,10043
link-kv-n_200,20,20,10063
link-kv-n_2000,565,565,10086
link-kv-n_3000,900,900,10060
link-kv-n_4000,1244,1247,10233
link-kv-n_500,83,83,10053
link-kv-n_5000,1670,1676,10617
link-kv-n_6000,2014,2022,11245
link-kv-n_6916,2364,2383,10616
openflights-n_100,10,10,0
openflights-n_1000,201,201,10037
openflights-n_1500,413,413,10097
openflights-n_200,26,26,10069
openflights-n_2000,593,593,10130
openflights-n_2942,998,998,10082
openflights-n_50,2,2,0
openflights-n_500,80,80,10035
out.cfinder-google-n_100,6,6,0
out.cfinder-google-n_1000,100,100,10089
out.cfinder-google-n_10000,3133,3133,10628
out.cfinder-google-n_1500,188,188,10122
out.cfinder-google-n_200,13,13,1
out.cfinder-google-n_2000,307,307,10162
out.cfinder-google-n_3000,574,574,10146
out.cfinder-google-n_4000,852,852,10209
out.cfinder-google-n_50,7,7,1
out.cfinder-google-n_500,37,37,10049
out.cfinder-google-n_5000,1200,1200,10285
out.cfinder-google-n_6000,1581,1581,10273
out.cfinder-google-n_7000,1928,1928,10217
out.cfinder-google-n_8000,2338,2338,10294
out.cfinder-google-n_9000,2698,2698,10226
talk-oc-n_1000,7,7,1
talk-oc-n_1500,15,15,0
talk-oc-n_2000,15,15,1
talk-oc-n_3000,29,29,2
talk-oc-n_3066,30,30,2
talk-oc-n_500,3,3,1
temporalGraph-n_1000,40,40,1
temporalGraph-n_1500,77,77,10006
temporalGraph-n_1868,106,106,10007
temporalGraph-n_200,5,5,1
temporalGraph-n_50,3,3,1
temporalGraph-n_500,17,17,10012
ucsocial-n_100,5,5,0
ucsocial-n_1000,258,258,10007
ucsocial-n_1500,435,435,10006
ucsocial-n_1902,585,585,10006
ucsocial-n_200,23,23,1
ucsocial-n_50,3,3,0
ucsocial-n_500,80,80,1
usairport-n_100,13,13,1
usairport-n_1000,253,253,10011
usairport-n_1500,428,428,10016
usairport-n_1577,455,455,10008
usairport-n_200,29,29,10009
usairport-n_50,5,5,10032
usairport-n_500,112,112,10052
wikispeedia-n_1000,156,156,10024
wikispeedia-n_1500,271,271,10004
wikispeedia-n_200,14,14,14
wikispeedia-n_2000,437,441,10007
wikispeedia-n_3000,804,827,10038
wikispeedia-n_500,56,56,10015
synth-n_100-m_1093-k_5-p_0.2.txt,5,5,1
synth-n_100-m_1146-k_10-p_0.2.txt,10,10,10002
synth-n_100-m_1151-k_15-p_0.2.txt,15,15,10001
synth-n_100-m_1229-k_20-p_0.2.txt,20,20,10003
synth-n_100-m_1263-k_25-p_0.2.txt,25,25,10003
synth-n_100-m_1275-k_30-p_0.2.txt,30,30,10001
synth-n_100-m_263-k_5-p_0.05.txt,5,5,1
synth-n_100-m_289-k_10-p_0.05.txt,4,4,10016
synth-n_100-m_302-k_15-p_0.05.txt,8,8,10017
synth-n_100-m_332-k_20-p_0.05.txt,14,14,10004
synth-n_100-m_336-k_30-p_0.05.txt,15,15,10002
synth-n_100-m_343-k_25-p_0.05.txt,14,14,10002
synth-n_100-m_515-k_5-p_0.1.txt,5,5,10005
synth-n_100-m_591-k_15-p_0.1.txt,15,15,10003
synth-n_100-m_611-k_10-p_0.1.txt,10,10,10004
synth-n_100-m_628-k_20-p_0.1.txt,20,20,10004
synth-n_100-m_691-k_25-p_0.1.txt,25,25,10002
synth-n_100-m_732-k_30-p_0.1.txt,30,30,10004
synth-n_1000-m_107005-k_50-p_0.2.txt,50,50,10274
synth-n_1000-m_110357-k_70-p_0.2.txt,70,70,10458
synth-n_1000-m_114433-k_100-p_0.2.txt,100,100,10645
synth-n_1000-m_116757-k_120-p_0.2.txt,120,120,10484
synth-n_1000-m_119520-k_150-p_0.2.txt,150,150,10414
synth-n_1000-m_124702-k_200-p_0.2.txt,200,200,10350
synth-n_1000-m_27142-k_50-p_0.05.txt,50,50,10036
synth-n_1000-m_28175-k_70-p_0.05.txt,70,70,10056
synth-n_1000-m_29037-k_100-p_0.05.txt,100,100,10031
synth-n_1000-m_30042-k_120-p_0.05.txt,120,120,10072
synth-n_1000-m_30795-k_150-p_0.05.txt,150,150,10100
synth-n_1000-m_32410-k_200-p_0.05.txt,200,200,10158
synth-n_1000-m_54531-k_50-p_0.1.txt,50,50,10052
synth-n_1000-m_55974-k_70-p_0.1.txt,70,70,10078
synth-n_1000-m_57929-k_100-p_0.1.txt,100,100,10204
synth-n_1000-m_59867-k_120-p_0.1.txt,120,120,10249
synth-n_1000-m_60934-k_150-p_0.1.txt,150,150,10080
synth-n_1000-m_64710-k_200-p_0.1.txt,200,200,10310
synth-n_1300-m_104213-k_200-p_0.1.txt,200,200,10705
synth-n_1300-m_178841-k_50-p_0.2.txt,50,50,10434
synth-n_1300-m_183367-k_70-p_0.2.txt,70,70,10530
synth-n_1300-m_188195-k_100-p_0.2.txt,100,100,10182
synth-n_1300-m_191963-k_120-p_0.2.txt,120,120,10863
synth-n_1300-m_196174-k_150-p_0.2.txt,150,150,11013
synth-n_1300-m_204142-k_200-p_0.2.txt,200,200,11863
synth-n_1300-m_45241-k_50-p_0.05.txt,50,50,10083
synth-n_1300-m_46137-k_70-p_0.05.txt,70,70,10122
synth-n_1300-m_47847-k_100-p_0.05.txt,100,100,10180
synth-n_1300-m_49172-k_120-p_0.05.txt,120,120,10112
synth-n_1300-m_50340-k_150-p_0.05.txt,150,150,10067
synth-n_1300-m_52952-k_200-p_0.05.txt,200,200,10172
synth-n_1300-m_89669-k_50-p_0.1.txt,50,50,10171
synth-n_1300-m_92255-k_70-p_0.1.txt,70,70,10407
synth-n_1300-m_95352-k_100-p_0.1.txt,100,100,10067
synth-n_1300-m_97421-k_120-p_0.1.txt,120,120,10168
synth-n_1300-m_99879-k_150-p_0.1.txt,150,150,10585
synth-n_150-m_1254-k_10-p_0.1.txt,10,10,10003
synth-n_150-m_1269-k_15-p_0.1.txt,15,15,10003
synth-n_150-m_1284-k_20-p_0.1.txt,20,20,10002
synth-n_150-m_1385-k_25-p_0.1.txt,25,25,10002
synth-n_150-m_1423-k_30-p_0.1.txt,30,30,10004
synth-n_150-m_1564-k_50-p_0.1.txt,48,49,10007
synth-n_150-m_2446-k_10-p_0.2.txt,10,10,10002
synth-n_150-m_2502-k_15-p_0.2.txt,15,15,10004
synth-n_150-m_2552-k_20-p_0.2.txt,20,20,10002
synth-n_150-m_2731-k_25-p_0.2.txt,25,25,10003
synth-n_150-m_2807-k_30-p_0.2.txt,30,30,10004
synth-n_150-m_3040-k_50-p_0.2.txt,50,50,10005
synth-n_150-m_3050-k_70-p_0.2.txt,70,75,10008
synth-n_150-m_630-k_15-p_0.05.txt,15,15,10002
synth-n_150-m_634-k_10-p_0.05.txt,7,7,0
synth-n_150-m_666-k_20-p_0.05.txt,15,15,10002
synth-n_150-m_704-k_25-p_0.05.txt,23,23,10002
synth-n_150-m_781-k_50-p_0.05.txt,32,32,10002
synth-n_150-m_782-k_30-p_0.05.txt,28,28,10002
synth-n_150-m_805-k_70-p_0.05.txt,43,45,10004
synth-n_1600-m_137884-k_70-p_0.1.txt,70,70,10247
synth-n_1600-m_141523-k_100-p_0.1.txt,100,100,10295
synth-n_1600-m_143789-k_120-p_0.1.txt,120,120,10160
synth-n_1600-m_147721-k_150-p_0.1.txt,150,150,10443
synth-n_1600-m_152838-k_200-p_0.1.txt,200,200,11227
synth-n_1600-m_273042-k_70-p_0.2.txt,70,70,11517
synth-n_1600-m_279359-k_100-p_0.2.txt,100,100,11850
synth-n_1600-m_284773-k_120-p_0.2.txt,120,120,11113
synth-n_1600-m_290831-k_150-p_0.2.txt,150,150,12599
synth-n_1600-m_301143-k_200-p_0.2.txt,200,200,12456
synth-n_1600-m_68907-k_70-p_0.05.txt,70,70,10180
synth-n_1600-m_70865-k_100-p_0.05.txt,100,100,10195
synth-n_1600-m_72748-k_120-p_0.05.txt,120,120,10228
synth-n_1600-m_74607-k_150-p_0.05.txt,150,150,10076
synth-n_1600-m_77345-k_200-p_0.05.txt,200,200,10114
synth-n_200-m_1076-k_10-p_0.05.txt,10,10,0
synth-n_200-m_1167-k_15-p_0.05.txt,15,15,10003
synth-n_200-m_1175-k_20-p_0.05.txt,20,20,10002
synth-n_200-m_1245-k_25-p_0.05.txt,24,24,10004
synth-n_200-m_1266-k_30-p_0.05.txt,30,30,10003
synth-n_200-m_1336-k_50-p_0.05.txt,45,46,10003
synth-n_200-m_2169-k_15-p_0.1.txt,15,15,10003
synth-n_200-m_2199-k_10-p_0.1.txt,10,10,10003
synth-n_200-m_2293-k_20-p_0.1.txt,20,20,10003
synth-n_200-m_2369-k_25-p_0.1.txt,25,25,10002
synth-n_200-m_2491-k_30-p_0.1.txt,30,30,10004
synth-n_200-m_2592-k_50-p_0.1.txt,50,50,10009
synth-n_200-m_2772-k_70-p_0.1.txt,70,72,10005
synth-n_200-m_4301-k_10-p_0.2.txt,10,10,10004
synth-n_200-m_4485-k_20-p_0.2.txt,20,20,10004
synth-n_200-m_4497-k_15-p_0.2.txt,15,15,10004
synth-n_200-m_4763-k_25-p_0.2.txt,25,25,10008
synth-n_200-m_4854-k_30-p_0.2.txt,30,30,10009
synth-n_200-m_5144-k_50-p_0.2.txt,50,50,10009
synth-n_200-m_5366-k_70-p_0.2.txt,70,71,10014
synth-n_2000-m_106592-k_70-p_0.05.txt,70,70,10168
synth-n_2000-m_108739-k_100-p_0.05.txt,100,100,10119
synth-n_2000-m_110886-k_120-p_0.05.txt,120,120,10691
synth-n_2000-m_112582-k_150-p_0.05.txt,150,150,10790
synth-n_2000-m_117145-k_200-p_0.05.txt,200,200,10715
synth-n_2000-m_212793-k_70-p_0.1.txt,70,70,10509
synth-n_2000-m_217131-k_100-p_0.1.txt,100,100,10510
synth-n_2000-m_220005-k_120-p_0.1.txt,120,120,10793
synth-n_2000-m_225391-k_150-p_0.1.txt,150,150,11109
synth-n_2000-m_233102-k_200-p_0.1.txt,200,200,12150
synth-n_2000-m_422023-k_70-p_0.2.txt,70,70,12194
synth-n_2000-m_430943-k_100-p_0.2.txt,100,100,11358
synth-n_2000-m_435643-k_120-p_0.2.txt,120,120,10706
synth-n_2000-m_444160-k_150-p_0.2.txt,150,150,13151
synth-n_2000-m_457573-k_200-p_0.2.txt,200,200,10692
