name,k_optimal,k_approx,millis
advotogo-n_100,2,2,26
advotogo-n_1000,127,128,6
advotogo-n_1500,215,215,6
advotogo-n_200,9,9,2
advotogo-n_2000,297,298,9
advotogo-n_3000,548,550,17
advotogo-n_4000,863,870,45
advotogo-n_500,39,39,2
advotogo-n_5000,1160,1176,56
advotogo-n_5159,1208,1225,41
bitcoinalpha-n_100,2,2,1
bitcoinalpha-n_1000,136,136,2
bitcoinalpha-n_1500,261,261,2
bitcoinalpha-n_200,11,11,1
bitcoinalpha-n_2000,393,393,4
bitcoinalpha-n_3000,658,658,6
bitcoinalpha-n_3785,921,922,8
bitcoinalpha-n_50,2,2,1
bitcoinalpha-n_500,54,54,1
blogs-n_100,8,8,1
blogs-n_1000,196,199,10
blogs-n_1227,262,272,20
blogs-n_200,16,16,1
blogs-n_50,6,6,1
blogs-n_500,76,78,1
chess-n_1000,62,64,2
chess-n_1500,127,133,5
chess-n_200,2,2,0
chess-n_2000,204,219,11
chess-n_500,17,17,1
ChicagoRegional-n_100,1,1,1
ChicagoRegional-n_1000,92,92,1
ChicagoRegional-n_10000,4193,4196,15
ChicagoRegional-n_1500,181,181,1
ChicagoRegional-n_200,5,5,0
ChicagoRegional-n_2000,307,307,1
ChicagoRegional-n_3000,631,631,1
ChicagoRegional-n_4000,1020,1020,2
ChicagoRegional-n_50,2,2,1
ChicagoRegional-n_500,24,24,1
ChicagoRegional-n_5000,1484,1484,3
ChicagoRegional-n_6000,1987,1987,5
ChicagoRegional-n_7000,2495,2495,7
ChicagoRegional-n_8000,3028,3029,8
ChicagoRegional-n_9000,3651,3652,11
health-n_100,4,4,1
health-n_1000,231,231,1
health-n_1500,446,451,4
health-n_200,17,17,1
health-n_2000,674,693,25
health-n_2542,960,1024,127
health-n_50,2,2,1
health-n_500,67,67,1
link-kv-n_100,8,8,1
link-kv-n_1000,234,234,5
link-kv-n_1500,391,391,11
link-kv-n_200,20,20,1
link-kv-n_2000,565,565,30
link-kv-n_3000,900,912,99
link-kv-n_4000,1244,1263,159
link-kv-n_500,83,83,1
link-kv-n_5000,1670,1707,270
link-kv-n_6000,2014,2065,534
link-kv-n_6916,2364,2438,765
openflights-n_100,10,10,0
openflights-n_1000,201,201,1
openflights-n_1500,413,413,1
openflights-n_200,26,26,1
openflights-n_2000,593,593,3
openflights-n_2942,998,998,7
openflights-n_50,2,2,1
openflights-n_500,80,80,0
out.cfinder-google-n_100,6,6,1
out.cfinder-google-n_1000,100,100,1
out.cfinder-google-n_10000,3133,3150,65
out.cfinder-google-n_1500,188,188,1
out.cfinder-google-n_200,13,13,1
out.cfinder-google-n_2000,307,307,1
out.cfinder-google-n_3000,574,574,2
out.cfinder-google-n_4000,852,854,6
out.cfinder-google-n_50,7,7,1
out.cfinder-google-n_500,37,37,1
out.cfinder-google-n_5000,1200,1201,13
out.cfinder-google-n_6000,1581,1589,13
out.cfinder-google-n_7000,1928,1931,20
out.cfinder-google-n_8000,2338,2342,41
out.cfinder-google-n_9000,2698,2712,42
talk-oc-n_1000,7,7,1
talk-oc-n_1500,15,15,1
talk-oc-n_2000,15,15,1
talk-oc-n_3000,29,29,3
talk-oc-n_3066,30,30,3
talk-oc-n_500,3,3,2
temporalGraph-n_1000,40,40,2
temporalGraph-n_1500,77,77,2
temporalGraph-n_1868,106,106,3
temporalGraph-n_200,5,5,1
temporalGraph-n_50,3,3,1
temporalGraph-n_500,17,17,1
ucsocial-n_100,5,5,1
ucsocial-n_1000,258,258,3
ucsocial-n_1500,435,436,7
ucsocial-n_1902,585,586,9
ucsocial-n_200,23,23,1
ucsocial-n_50,3,3,1
ucsocial-n_500,80,80,1
usairport-n_100,13,13,0
usairport-n_1000,253,255,4
usairport-n_1500,428,431,8
usairport-n_1577,455,459,9
usairport-n_200,29,29,1
usairport-n_50,5,5,1
usairport-n_500,112,112,1
wikispeedia-n_1000,156,156,1
wikispeedia-n_1500,271,282,4
wikispeedia-n_200,14,14,1
wikispeedia-n_2000,437,451,13
wikispeedia-n_3000,804,841,82
wikispeedia-n_500,56,56,1
synth-n_100-m_1093-k_5-p_0.2.txt,5,5,1
synth-n_100-m_1146-k_10-p_0.2.txt,10,11,2
synth-n_100-m_1151-k_15-p_0.2.txt,15,20,2
synth-n_100-m_1229-k_20-p_0.2.txt,20,32,3
synth-n_100-m_1263-k_25-p_0.2.txt,25,29,1
synth-n_100-m_1275-k_30-p_0.2.txt,30,47,1
synth-n_100-m_263-k_5-p_0.05.txt,5,5,1
synth-n_100-m_289-k_10-p_0.05.txt,4,5,1
synth-n_100-m_302-k_15-p_0.05.txt,8,9,1
synth-n_100-m_332-k_20-p_0.05.txt,14,17,2
synth-n_100-m_336-k_30-p_0.05.txt,15,17,1
synth-n_100-m_343-k_25-p_0.05.txt,14,18,1
synth-n_100-m_515-k_5-p_0.1.txt,5,5,1
synth-n_100-m_591-k_15-p_0.1.txt,15,15,1
synth-n_100-m_611-k_10-p_0.1.txt,10,14,1
synth-n_100-m_628-k_20-p_0.1.txt,20,23,1
synth-n_100-m_691-k_25-p_0.1.txt,25,30,1
synth-n_100-m_732-k_30-p_0.1.txt,30,40,2
synth-n_1000-m_107005-k_50-p_0.2.txt,50,215,167
synth-n_1000-m_110357-k_70-p_0.2.txt,70,273,176
synth-n_1000-m_114433-k_100-p_0.2.txt,100,476,229
synth-n_1000-m_116757-k_120-p_0.2.txt,120,317,233
synth-n_1000-m_119520-k_150-p_0.2.txt,150,487,221
synth-n_1000-m_124702-k_200-p_0.2.txt,200,558,256
synth-n_1000-m_27142-k_50-p_0.05.txt,50,72,38
synth-n_1000-m_28175-k_70-p_0.05.txt,70,124,44
synth-n_1000-m_29037-k_100-p_0.05.txt,100,188,61
synth-n_1000-m_30042-k_120-p_0.05.txt,120,243,67
synth-n_1000-m_30795-k_150-p_0.05.txt,150,330,86
synth-n_1000-m_32410-k_200-p_0.05.txt,200,467,106
synth-n_1000-m_54531-k_50-p_0.1.txt,50,114,80
synth-n_1000-m_55974-k_70-p_0.1.txt,70,228,112
synth-n_1000-m_57929-k_100-p_0.1.txt,100,253,111
synth-n_1000-m_59867-k_120-p_0.1.txt,120,327,117
synth-n_1000-m_60934-k_150-p_0.1.txt,150,440,131
synth-n_1000-m_64710-k_200-p_0.1.txt,200,543,163
synth-n_1300-m_104213-k_200-p_0.1.txt,200,534,261
synth-n_1300-m_178841-k_50-p_0.2.txt,50,160,318
synth-n_1300-m_183367-k_70-p_0.2.txt,70,193,319
synth-n_1300-m_188195-k_100-p_0.2.txt,100,346,369
synth-n_1300-m_191963-k_120-p_0.2.txt,120,453,340
synth-n_1300-m_196174-k_150-p_0.2.txt,150,474,373
synth-n_1300-m_204142-k_200-p_0.2.txt,200,624,508
synth-n_1300-m_45241-k_50-p_0.05.txt,50,65,57
synth-n_1300-m_46137-k_70-p_0.05.txt,70,134,81
synth-n_1300-m_47847-k_100-p_0.05.txt,100,251,118
synth-n_1300-m_49172-k_120-p_0.05.txt,120,292,139
synth-n_1300-m_50340-k_150-p_0.05.txt,150,382,133
synth-n_1300-m_52952-k_200-p_0.05.txt,200,517,186
synth-n_1300-m_89669-k_50-p_0.1.txt,50,143,145
synth-n_1300-m_92255-k_70-p_0.1.txt,70,243,180
synth-n_1300-m_95352-k_100-p_0.1.txt,100,361,202
synth-n_1300-m_97421-k_120-p_0.1.txt,120,310,231
synth-n_1300-m_99879-k_150-p_0.1.txt,150,410,225
synth-n_150-m_1254-k_10-p_0.1.txt,10,10,1
synth-n_150-m_1269-k_15-p_0.1.txt,15,21,1
synth-n_150-m_1284-k_20-p_0.1.txt,20,25,2
synth-n_150-m_1385-k_25-p_0.1.txt,25,46,3
synth-n_150-m_1423-k_30-p_0.1.txt,30,36,2
synth-n_150-m_1564-k_50-p_0.1.txt,48,88,3
synth-n_150-m_2446-k_10-p_0.2.txt,10,10,1
synth-n_150-m_2502-k_15-p_0.2.txt,15,20,2
synth-n_150-m_2552-k_20-p_0.2.txt,20,31,2
synth-n_150-m_2731-k_25-p_0.2.txt,25,42,2
synth-n_150-m_2807-k_30-p_0.2.txt,30,71,4
synth-n_150-m_3040-k_50-p_0.2.txt,50,90,5
synth-n_150-m_3050-k_70-p_0.2.txt,70,111,3
synth-n_150-m_630-k_15-p_0.05.txt,15,19,1
synth-n_150-m_634-k_10-p_0.05.txt,7,7,0
synth-n_150-m_666-k_20-p_0.05.txt,15,15,1
synth-n_150-m_704-k_25-p_0.05.txt,23,25,0
synth-n_150-m_781-k_50-p_0.05.txt,32,41,1
synth-n_150-m_782-k_30-p_0.05.txt,28,32,1
synth-n_150-m_805-k_70-p_0.05.txt,43,55,2
synth-n_1600-m_137884-k_70-p_0.1.txt,70,392,365
synth-n_1600-m_141523-k_100-p_0.1.txt,100,388,359
synth-n_1600-m_143789-k_120-p_0.1.txt,120,391,355
synth-n_1600-m_147721-k_150-p_0.1.txt,150,462,370
synth-n_1600-m_152838-k_200-p_0.1.txt,200,638,436
synth-n_1600-m_273042-k_70-p_0.2.txt,70,325,836
synth-n_1600-m_279359-k_100-p_0.2.txt,100,477,714
synth-n_1600-m_284773-k_120-p_0.2.txt,120,697,786
synth-n_1600-m_290831-k_150-p_0.2.txt,150,477,765
synth-n_1600-m_301143-k_200-p_0.2.txt,200,557,860
synth-n_1600-m_68907-k_70-p_0.05.txt,70,158,153
synth-n_1600-m_70865-k_100-p_0.05.txt,100,289,187
synth-n_1600-m_72748-k_120-p_0.05.txt,120,287,209
synth-n_1600-m_74607-k_150-p_0.05.txt,150,357,244
synth-n_1600-m_77345-k_200-p_0.05.txt,200,513,280
synth-n_200-m_1076-k_10-p_0.05.txt,10,10,1
synth-n_200-m_1167-k_15-p_0.05.txt,15,15,2
synth-n_200-m_1175-k_20-p_0.05.txt,20,25,2
synth-n_200-m_1245-k_25-p_0.05.txt,24,25,1
synth-n_200-m_1266-k_30-p_0.05.txt,30,38,1
synth-n_200-m_1336-k_50-p_0.05.txt,45,65,2
synth-n_200-m_2169-k_15-p_0.1.txt,15,17,2
synth-n_200-m_2199-k_10-p_0.1.txt,10,14,2
synth-n_200-m_2293-k_20-p_0.1.txt,20,28,2
synth-n_200-m_2369-k_25-p_0.1.txt,25,34,2
synth-n_200-m_2491-k_30-p_0.1.txt,30,49,2
synth-n_200-m_2592-k_50-p_0.1.txt,50,100,4
synth-n_200-m_2772-k_70-p_0.1.txt,70,128,5
synth-n_200-m_4301-k_10-p_0.2.txt,10,14,2
synth-n_200-m_4485-k_20-p_0.2.txt,20,32,3
synth-n_200-m_4497-k_15-p_0.2.txt,15,43,3
synth-n_200-m_4763-k_25-p_0.2.txt,25,47,4
synth-n_200-m_4854-k_30-p_0.2.txt,30,56,4
synth-n_200-m_5144-k_50-p_0.2.txt,50,111,5
synth-n_200-m_5366-k_70-p_0.2.txt,70,135,7
synth-n_2000-m_106592-k_70-p_0.05.txt,70,124,366
synth-n_2000-m_108739-k_100-p_0.05.txt,100,280,359
synth-n_2000-m_110886-k_120-p_0.05.txt,120,313,383
synth-n_2000-m_112582-k_150-p_0.05.txt,150,432,442
synth-n_2000-m_117145-k_200-p_0.05.txt,200,647,538
synth-n_2000-m_212793-k_70-p_0.1.txt,70,286,476
synth-n_2000-m_217131-k_100-p_0.1.txt,100,458,585
synth-n_2000-m_220005-k_120-p_0.1.txt,120,365,536
synth-n_2000-m_225391-k_150-p_0.1.txt,150,526,659
synth-n_2000-m_233102-k_200-p_0.1.txt,200,616,873
synth-n_2000-m_422023-k_70-p_0.2.txt,70,280,925
synth-n_2000-m_430943-k_100-p_0.2.txt,100,480,1286
synth-n_2000-m_435643-k_120-p_0.2.txt,120,428,1239
synth-n_2000-m_444160-k_150-p_0.2.txt,150,537,1412
synth-n_2000-m_457573-k_200-p_0.2.txt,200,711,1544
synth-n_2300-m_142851-k_100-p_0.05.txt,100,304,406
synth-n_2300-m_144829-k_120-p_0.05.txt,120,306,506
synth-n_2300-m_147738-k_150-p_0.05.txt,150,498,1258
synth-n_2300-m_152429-k_200-p_0.05.txt,200,756,982
synth-n_2300-m_284623-k_100-p_0.1.txt,100,385,1056
synth-n_2300-m_286796-k_120-p_0.1.txt,120,450,1252
synth-n_2300-m_292795-k_150-p_0.1.txt,150,621,1352
synth-n_2300-m_302503-k_200-p_0.1.txt,200,823,1637
synth-n_2300-m_563042-k_100-p_0.2.txt,100,484,2441
synth-n_2300-m_569928-k_120-p_0.2.txt,120,461,3189
synth-n_2300-m_580179-k_150-p_0.2.txt,150,656,2142
synth-n_2300-m_595551-k_200-p_0.2.txt,200,711,2370
synth-n_250-m_1653-k_10-p_0.05.txt,10,10,1
synth-n_250-m_1708-k_15-p_0.05.txt,15,17,1
synth-n_250-m_1797-k_25-p_0.05.txt,25,32,3
synth-n_250-m_1806-k_20-p_0.05.txt,20,21,1
synth-n_250-m_1841-k_30-p_0.05.txt,30,34,3
synth-n_250-m_1998-k_50-p_0.05.txt,50,77,3
synth-n_250-m_2173-k_70-p_0.05.txt,69,105,4
synth-n_250-m_3237-k_10-p_0.1.txt,10,10,2
synth-n_250-m_3416-k_15-p_0.1.txt,15,21,3
synth-n_250-m_3493-k_25-p_0.1.txt,25,28,3
synth-n_250-m_3591-k_20-p_0.1.txt,20,26,3
synth-n_250-m_3730-k_30-p_0.1.txt,30,51,4
synth-n_250-m_3992-k_50-p_0.1.txt,50,73,5
synth-n_250-m_4149-k_70-p_0.1.txt,70,159,7
synth-n_250-m_4386-k_100-p_0.1.txt,100,180,8
synth-n_250-m_6567-k_10-p_0.2.txt,10,15,3
synth-n_250-m_6839-k_20-p_0.2.txt,20,36,5
synth-n_250-m_6880-k_15-p_0.2.txt,15,18,6
synth-n_250-m_7102-k_25-p_0.2.txt,25,57,6
synth-n_250-m_7321-k_30-p_0.2.txt,30,43,9
synth-n_250-m_8019-k_50-p_0.2.txt,50,125,8
synth-n_250-m_8255-k_70-p_0.2.txt,70,141,9
synth-n_250-m_8674-k_100-p_0.2.txt,100,188,9
synth-n_2600-m_181265-k_100-p_0.05.txt,100,324,549
synth-n_2600-m_183371-k_120-p_0.05.txt,120,417,595
synth-n_2600-m_186921-k_150-p_0.05.txt,150,430,703
synth-n_2600-m_190932-k_200-p_0.05.txt,200,615,768
synth-n_2600-m_360584-k_100-p_0.1.txt,100,310,953
synth-n_2600-m_364394-k_120-p_0.1.txt,120,407,1305
synth-n_2600-m_370561-k_150-p_0.1.txt,150,533,1064
synth-n_2600-m_380919-k_200-p_0.1.txt,200,826,1285
synth-n_2600-m_716555-k_100-p_0.2.txt,100,631,2776
synth-n_2600-m_722675-k_120-p_0.2.txt,120,653,2549
synth-n_2600-m_735701-k_150-p_0.2.txt,150,682,3006
synth-n_2600-m_752513-k_200-p_0.2.txt,200,1003,3560
synth-n_300-m_10021-k_20-p_0.2.txt,20,37,7
synth-n_300-m_10113-k_25-p_0.2.txt,25,58,8
synth-n_300-m_10205-k_30-p_0.2.txt,30,80,9
synth-n_300-m_10954-k_50-p_0.2.txt,50,115,15
synth-n_300-m_11628-k_70-p_0.2.txt,70,158,15
synth-n_300-m_12194-k_100-p_0.2.txt,100,219,23
synth-n_300-m_12407-k_120-p_0.2.txt,120,257,25
synth-n_300-m_2373-k_15-p_0.05.txt,15,17,2
synth-n_300-m_2470-k_20-p_0.05.txt,20,24,3
synth-n_300-m_2597-k_25-p_0.05.txt,25,38,3
synth-n_300-m_2657-k_30-p_0.05.txt,30,52,4
synth-n_300-m_2835-k_50-p_0.05.txt,50,78,5
synth-n_300-m_2943-k_70-p_0.05.txt,70,113,6
synth-n_300-m_4857-k_15-p_0.1.txt,15,19,4
synth-n_300-m_4934-k_25-p_0.1.txt,25,31,6
synth-n_300-m_4954-k_20-p_0.1.txt,20,28,6
synth-n_300-m_5319-k_30-p_0.1.txt,30,65,8
synth-n_300-m_5550-k_50-p_0.1.txt,50,121,8
synth-n_300-m_5939-k_70-p_0.1.txt,70,118,9
synth-n_300-m_6233-k_100-p_0.1.txt,100,183,11
synth-n_300-m_6319-k_120-p_0.1.txt,120,224,12
synth-n_300-m_9556-k_15-p_0.2.txt,15,31,6
synth-n_3000-m_240581-k_120-p_0.05.txt,120,317,791
synth-n_3000-m_245845-k_150-p_0.05.txt,150,470,1134
synth-n_3000-m_251178-k_200-p_0.05.txt,200,632,2061
synth-n_3000-m_480800-k_120-p_0.1.txt,120,448,1995
synth-n_3000-m_488450-k_150-p_0.1.txt,150,555,2894
synth-n_3000-m_498304-k_200-p_0.1.txt,200,833,3363
synth-n_3000-m_954655-k_120-p_0.2.txt,120,690,6797
synth-n_3000-m_967399-k_150-p_0.2.txt,150,713,4375
synth-n_3000-m_988910-k_200-p_0.2.txt,200,911,4605
synth-n_3500-m_1289316-k_120-p_0.2.txt,120,1366,9664
synth-n_3500-m_1304726-k_150-p_0.2.txt,150,803,7275
synth-n_3500-m_1330654-k_200-p_0.2.txt,200,1246,11207
synth-n_3500-m_325120-k_120-p_0.05.txt,120,347,1262
synth-n_3500-m_330042-k_150-p_0.05.txt,150,400,1396
synth-n_3500-m_337087-k_200-p_0.05.txt,200,667,1892
synth-n_3500-m_649101-k_120-p_0.1.txt,120,493,2670
synth-n_3500-m_657209-k_150-p_0.1.txt,150,572,3128
synth-n_3500-m_672789-k_200-p_0.1.txt,200,846,4339
synth-n_400-m_10064-k_70-p_0.1.txt,70,155,25
synth-n_400-m_10528-k_100-p_0.1.txt,100,193,19
synth-n_400-m_10934-k_120-p_0.1.txt,120,242,23
synth-n_400-m_11482-k_150-p_0.1.txt,150,302,25
synth-n_400-m_16937-k_15-p_0.2.txt,15,52,19
synth-n_400-m_17175-k_20-p_0.2.txt,20,72,19
synth-n_400-m_17488-k_25-p_0.2.txt,25,71,24
synth-n_400-m_17822-k_30-p_0.2.txt,30,73,25
synth-n_400-m_18943-k_50-p_0.2.txt,50,117,81
synth-n_400-m_19735-k_70-p_0.2.txt,70,161,32
synth-n_400-m_20559-k_100-p_0.2.txt,100,205,33
synth-n_400-m_21181-k_120-p_0.2.txt,120,235,34
synth-n_400-m_21916-k_150-p_0.2.txt,150,341,33
synth-n_400-m_4229-k_20-p_0.05.txt,20,20,3
synth-n_400-m_4312-k_15-p_0.05.txt,15,15,4
synth-n_400-m_4511-k_25-p_0.05.txt,25,27,3
synth-n_400-m_4551-k_30-p_0.05.txt,30,35,5
synth-n_400-m_4714-k_50-p_0.05.txt,50,61,8
synth-n_400-m_5045-k_70-p_0.05.txt,70,110,17
synth-n_400-m_5336-k_100-p_0.05.txt,100,164,20
synth-n_400-m_5606-k_120-p_0.05.txt,120,194,17
synth-n_400-m_8510-k_15-p_0.1.txt,15,17,8
synth-n_400-m_8590-k_20-p_0.1.txt,20,33,10
synth-n_400-m_8815-k_25-p_0.1.txt,25,31,8
synth-n_400-m_9014-k_30-p_0.1.txt,30,62,10
synth-n_400-m_9687-k_50-p_0.1.txt,50,95,16
synth-n_4000-m_1691611-k_150-p_0.2.txt,150,755,14283
synth-n_4000-m_1721128-k_200-p_0.2.txt,200,1010,12692
synth-n_4000-m_427463-k_150-p_0.05.txt,150,526,3430
synth-n_4000-m_437663-k_200-p_0.05.txt,200,774,5651
synth-n_4000-m_852262-k_150-p_0.1.txt,150,562,6221
synth-n_4000-m_868734-k_200-p_0.1.txt,200,929,6781
synth-n_50-m_139-k_5-p_0.1.txt,1,1,0
synth-n_50-m_143-k_10-p_0.1.txt,5,5,1
synth-n_50-m_164-k_15-p_0.1.txt,9,11,1
synth-n_50-m_169-k_20-p_0.1.txt,9,9,1
synth-n_50-m_269-k_5-p_0.2.txt,5,5,0
synth-n_50-m_293-k_10-p_0.2.txt,10,12,1
synth-n_50-m_325-k_15-p_0.2.txt,15,18,1
synth-n_50-m_343-k_20-p_0.2.txt,19,22,1
synth-n_50-m_72-k_5-p_0.05.txt,2,2,1
synth-n_50-m_84-k_10-p_0.05.txt,1,1,1
synth-n_50-m_92-k_20-p_0.05.txt,2,2,1
synth-n_50-m_95-k_15-p_0.05.txt,4,4,0
synth-n_500-m_13283-k_20-p_0.1.txt,20,21,10
synth-n_500-m_13672-k_25-p_0.1.txt,25,43,13
synth-n_500-m_13710-k_30-p_0.1.txt,30,41,12
synth-n_500-m_14453-k_50-p_0.1.txt,50,117,28
synth-n_500-m_15273-k_70-p_0.1.txt,70,153,24
synth-n_500-m_15985-k_100-p_0.1.txt,100,205,30
synth-n_500-m_16565-k_120-p_0.1.txt,120,240,29
synth-n_500-m_17327-k_150-p_0.1.txt,150,346,37
synth-n_500-m_26431-k_20-p_0.2.txt,20,42,23
synth-n_500-m_26954-k_25-p_0.2.txt,25,64,27
synth-n_500-m_27136-k_30-p_0.2.txt,30,90,28
synth-n_500-m_28432-k_50-p_0.2.txt,50,147,35
synth-n_500-m_29623-k_70-p_0.2.txt,70,174,45
synth-n_500-m_31513-k_100-p_0.2.txt,100,230,73
synth-n_500-m_32243-k_120-p_0.2.txt,120,287,46
synth-n_500-m_33353-k_150-p_0.2.txt,150,269,54
synth-n_500-m_34356-k_200-p_0.2.txt,200,441,66
synth-n_500-m_6745-k_25-p_0.05.txt,25,36,7
synth-n_500-m_6906-k_20-p_0.05.txt,20,22,5
synth-n_500-m_6986-k_30-p_0.05.txt,30,37,10
synth-n_500-m_7195-k_50-p_0.05.txt,50,72,13
synth-n_500-m_7774-k_70-p_0.05.txt,70,124,15
synth-n_500-m_8350-k_100-p_0.05.txt,100,233,25
synth-n_500-m_8412-k_120-p_0.05.txt,120,256,33
synth-n_500-m_8716-k_150-p_0.05.txt,150,263,33
synth-n_700-m_13000-k_25-p_0.05.txt,25,30,14
synth-n_700-m_13374-k_30-p_0.05.txt,30,41,13
synth-n_700-m_13738-k_50-p_0.05.txt,50,76,17
synth-n_700-m_14360-k_70-p_0.05.txt,70,139,36
synth-n_700-m_14970-k_100-p_0.05.txt,100,203,52
synth-n_700-m_15640-k_120-p_0.05.txt,120,263,45
synth-n_700-m_16024-k_150-p_0.05.txt,150,322,54
synth-n_700-m_16823-k_200-p_0.05.txt,200,440,56
synth-n_700-m_26060-k_25-p_0.1.txt,25,62,28
synth-n_700-m_26206-k_30-p_0.1.txt,30,85,39
synth-n_700-m_27622-k_50-p_0.1.txt,50,102,47
synth-n_700-m_28433-k_70-p_0.1.txt,70,214,56
synth-n_700-m_29736-k_100-p_0.1.txt,100,250,65
synth-n_700-m_30695-k_120-p_0.1.txt,120,267,78
synth-n_700-m_31750-k_150-p_0.1.txt,150,411,80
synth-n_700-m_33182-k_200-p_0.1.txt,200,429,90
synth-n_700-m_51621-k_25-p_0.2.txt,25,36,49
synth-n_700-m_52169-k_30-p_0.2.txt,30,63,79
synth-n_700-m_54187-k_50-p_0.2.txt,50,199,84
synth-n_700-m_55984-k_70-p_0.2.txt,70,182,107
synth-n_700-m_58597-k_100-p_0.2.txt,100,316,96
synth-n_700-m_60598-k_120-p_0.2.txt,120,305,96
synth-n_700-m_61751-k_150-p_0.2.txt,150,352,101
synth-n_700-m_64387-k_200-p_0.2.txt,200,487,134
