name,k,millis,verified
biology-n_12-m_33-p_0.5-15,3,7,true
biology-n_12-m_33-p_0.75-15,3,1,true
biology-n_12-m_33-p_0.9-15,3,3,true
biology-n_12-m_43-p_0.5-25,4,3,true
biology-n_12-m_43-p_0.75-25,3,1,true
biology-n_12-m_43-p_0.9-25,1,0,true
biology-n_12-m_45-p_0.5-19,3,0,true
biology-n_12-m_45-p_0.75-19,3,0,true
biology-n_12-m_45-p_0.9-19,1,0,true
biology-n_13-m_39-p_0.5-4,2,1,true
biology-n_13-m_39-p_0.75-4,3,0,true
biology-n_13-m_39-p_0.9-4,4,1,true
biology-n_13-m_51-p_0.5-22,4,1,true
biology-n_13-m_51-p_0.75-22,3,0,true
biology-n_13-m_51-p_0.9-22,3,1,true
biology-n_16-m_79-p_0.5-3,6,14,true
biology-n_16-m_79-p_0.75-3,6,6,true
biology-n_16-m_79-p_0.9-3,4,1,true
biology-n_17-m_89-p_0.5-10,6,11,true
biology-n_17-m_89-p_0.75-10,6,39,true
biology-n_17-m_89-p_0.9-10,4,3,true
biology-n_19-m_99-p_0.5-20,7,130,true
biology-n_19-m_99-p_0.75-20,6,32,true
biology-n_19-m_99-p_0.9-20,3,0,true
biology-n_20-m_125-p_0.5-24,8,1588,true
biology-n_20-m_125-p_0.5-7,9,770,true
biology-n_20-m_125-p_0.75-24,9,772,true
biology-n_20-m_125-p_0.75-7,5,3,true
biology-n_20-m_125-p_0.9-24,3,0,true
biology-n_20-m_125-p_0.9-7,4,1,true
biology-n_22-m_76-p_0.5-9,4,0,true
biology-n_22-m_76-p_0.75-9,4,3,true
biology-n_22-m_76-p_0.9-9,3,0,true
biology-n_23-m_166-p_0.5-17,12,24249,true
biology-n_23-m_166-p_0.75-17,10,1778,true
biology-n_23-m_166-p_0.9-17,6,12,true
biology-n_25-m_231-p_0.5-6,0,60000,false
biology-n_25-m_231-p_0.75-6,0,60000,false
biology-n_25-m_231-p_0.9-6,8,763,true
biology-n_28-m_163-p_0.5-11,0,60000,false
biology-n_28-m_163-p_0.75-11,8,3368,true
biology-n_28-m_163-p_0.9-11,5,10,true
biology-n_28-m_249-p_0.5-8,0,60000,false
biology-n_28-m_249-p_0.75-8,0,60000,false
biology-n_28-m_249-p_0.9-8,6,32,true
biology-n_29-m_153-p_0.5-21,11,33940,true
biology-n_29-m_153-p_0.75-21,11,33399,true
biology-n_29-m_153-p_0.9-21,5,75,true
biology-n_30-m_287-p_0.5-5,0,60000,false
biology-n_30-m_287-p_0.75-5,0,60000,false
biology-n_30-m_287-p_0.9-5,10,45413,true
biology-n_35-m_315-p_0.5-18,0,60000,false
biology-n_35-m_315-p_0.75-18,0,60000,false
biology-n_35-m_315-p_0.9-18,0,60000,false
biology-n_36-m_219-p_0.5-12,0,60000,false
biology-n_36-m_219-p_0.75-12,0,60000,false
biology-n_36-m_219-p_0.9-12,9,1703,true
biology-n_42-m_297-p_0.5-23,0,60000,false
biology-n_42-m_297-p_0.75-23,0,60000,false
biology-n_42-m_297-p_0.9-23,0,60000,false
biology-n_45-m_326-p_0.5-16,0,60000,false
biology-n_45-m_326-p_0.75-16,0,60000,false
biology-n_45-m_326-p_0.9-16,0,60000,false
biology-n_49-m_689-p_0.5-14,0,60000,false
biology-n_49-m_689-p_0.75-14,0,60000,false
biology-n_49-m_689-p_0.9-14,0,60000,false
biology-n_56-m_526-p_0.5-2,0,60000,false
biology-n_56-m_526-p_0.75-2,0,60000,false
biology-n_56-m_526-p_0.9-2,0,60000,false
biology-n_6-m_7-p_0.5-13,0,0,true
biology-n_6-m_7-p_0.75-13,0,0,true
biology-n_6-m_7-p_0.9-13,0,0,true
biology-n_9-m_23-p_0.5-1,2,0,true
biology-n_9-m_23-p_0.75-1,2,0,true
biology-n_9-m_23-p_0.9-1,1,0,true
GD-n_101-m_190.mtx,0,0,true
GD-n_105-m_149.mtx,0,60000,false
GD-n_111-m_193.mtx,0,1,true
GD-n_112-m_168.mtx,0,1,true
GD-n_121-m_207.mtx,0,60000,false
GD-n_18-m_37.mtx,8,2,true
GD-n_180-m_229.mtx,2,7,true
GD-n_23-m_87.mtx,9,4,true
GD-n_36-m_57.mtx,5,7,true
GD-n_38-m_50.mtx,2,0,true
GD-n_47-m_132.mtx,0,0,true
GD-n_62-m_287.mtx,0,60000,false
GD-n_65-m_125.mtx,0,0,true
GD-n_73-m_96.mtx,2,1,true
GD-n_80-m_232.mtx,0,60000,false
GD-n_84-m_196.mtx,0,0,true
maayan_foodweb-n_183-m_2476,11,13468,true
moreno_bison-n_26-m_314,16,7362,true
moreno_cattle-n_28-m_217,8,704,true
moreno_hens-n_32-m_496,11,18586,true
moreno_innovation-n_241-m_1098,0,60000,false
moreno_mac-n_62-m_1187,0,60000,false
moreno_rhesus-m_16-m_111,10,5,true
moreno_sheep-n_28-m_250,8,187,true
polbooks-n_105-m_441.mtx,0,0,true
Tina_AskCal-n_11-m_29.mtx,3,0,true
