name,n,m,max_m,m_percentage,complexity
synth-n_10-m_12-k_2-p_0.2.txt,10,12,90,0.13333334,1.3333334
synth-n_10-m_12-k_4-p_0.2.txt,10,12,90,0.13333334,1.3333334
synth-n_10-m_2-k_2-p_0.05.txt,4,2,12,0.16666667,0.6666667
synth-n_10-m_2-k_4-p_0.05.txt,3,2,6,0.33333334,1.0
synth-n_10-m_5-k_2-p_0.1.txt,7,5,42,0.11904762,0.8333333
synth-n_10-m_5-k_4-p_0.1.txt,6,5,30,0.16666667,1.0
synth-n_20-m_10-k_2-p_0.05.txt,13,10,156,0.06410257,0.8333334
synth-n_20-m_11-k_6-p_0.05.txt,16,11,240,0.045833334,0.73333335
synth-n_20-m_18-k_4-p_0.05.txt,16,18,240,0.075,1.2
synth-n_20-m_20-k_4-p_0.1.txt,16,20,240,0.083333336,1.3333334
synth-n_20-m_25-k_2-p_0.1.txt,19,25,342,0.07309941,1.3888888
synth-n_20-m_25-k_8-p_0.1.txt,19,25,342,0.07309941,1.3888888
synth-n_20-m_38-k_6-p_0.1.txt,19,38,342,0.11111111,2.1111112
synth-n_20-m_48-k_2-p_0.2.txt,20,48,380,0.12631579,2.5263157
synth-n_20-m_54-k_8-p_0.2.txt,20,54,380,0.14210527,2.8421054
synth-n_20-m_58-k_4-p_0.2.txt,19,58,342,0.16959064,3.222222
synth-n_20-m_59-k_6-p_0.2.txt,20,59,380,0.15526316,3.1052632
synth-n_20-m_9-k_8-p_0.05.txt,11,9,110,0.08181818,0.9
synth-n_30-m_111-k_8-p_0.2.txt,30,111,870,0.1275862,3.827586
synth-n_30-m_114-k_6-p_0.2.txt,30,114,870,0.13103448,3.9310343
synth-n_30-m_117-k_10-p_0.2.txt,30,117,870,0.13448276,4.0344825
synth-n_30-m_25-k_2-p_0.05.txt,26,25,650,0.03846154,1.0
synth-n_30-m_28-k_4-p_0.05.txt,25,28,600,0.046666667,1.1666666
synth-n_30-m_28-k_6-p_0.05.txt,26,28,650,0.04307692,1.12
